beta 	alpha	V		CdA_ke	ClA_ke		CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw		CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw	
----	----	----	----	----		----	    ----		----		----	    ----	----		----		----		----		----	
0		90		17		0.2276	0.01661 	-0.002053 	0.0003449	-0.008176	-3.517e-05	0.2383	0.01248 	-0.003792	-0.0006142	-0.007695 	-0.0004424
10	   	90		17		0.2313	0.006802 	0.005470 	0.004736    -0.008214   0.001648    0.2435	0.008189 	0.01349     0.003992    -0.009354 	0.001243
20	   	90		17		0.2414	-0.0003826 	-0.004986 	0.01055     -0.01193    0.003331    0.2521	-0.005642 	0.009878    0.008153    -0.01119 	0.002487  
30		90		17      0.2515	-0.007709 	-0.007014 	0.01788     -0.01358    0.005519    0.2553	-0.01400 	-0.0004555  0.01130     -0.01264 	0.003718
40	   	90		17		0.2517	-0.007895 	-0.02778 	0.02197     -0.01220    0.005734    0.2613	-0.007313 	-0.009447   0.01607     -0.01099 	0.004531
50	   	90		17		0.2499	-0.003007 	-0.03285 	0.02395     -0.008610   0.006398    0.2570	-0.001608 	-0.02977    0.01915     -0.009050 	0.006102
60		90		17		0.2427	0.003675 	-0.02188 	0.02406     -0.004797   0.006492    0.2488	-0.003835 	-0.01694    0.01729     -0.003311 	0.005781     
70		90		17      0.2265	0.007038 	-0.02751 	0.02064     -0.002058   0.007469    0.2346	0.006496 	-0.01606    0.01658     -0.003160 	0.007691
80		90		17      0.2070	0.004096 	-0.01423 	0.01721     -0.001935   0.005819    0.2158	0.003097 	-0.01498    0.01379     -0.002231 	0.005983
90	    90		17		0.1901	0.006403 	-0.003674 	0.01352     -0.006123   0.004038    0.1979	0.004733 	-0.002826   0.006116    -0.003627 	0.004257


 		
		
		
 		
 		
		
		
		
		
		
		
