beta 	alpha	V		CdA_ke	ClA_ke		CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw		CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw	
----	----	----	----	----		----	    ----		----		----		----	----		----		----		----		----	
0		90		17		0.2214 	0.01475 	0.004359   	0.0004870	-0.008311 	-7.346e-05	0.2369 	0.01494 	0.002190	0.0003787	-0.0092982 	-0.0004152
10	   	90		17		0.2216 	0.007011 	0.0008489  	-0.003105	-0.008805	0.002229	0.2433 	0.005358 	0.003858	0.0004355	-0.01077 	0.001114
20	   	90		17		0.2330 	0.003128 	-0.003931   0.01107		-0.01082 	0.002425	0.2427 	-0.005328 	0.001594	0.004038	-0.01102 	0.001550
30	   	90		17		0.2480 	-0.003486 	-0.007181   0.02052		-0.01455 	0.004474	0.2565 	-0.01163 	-0.008862	0.01036		-0.01486 	0.003780
40	   	90		17		0.2537 	-0.002335 	-0.02506    0.02641		-0.01383 	0.005015	0.2644 	-0.009362 	-0.01426	0.01540		-0.01266	0.005107
50	   	90		17		0.2488 	-0.0007232 	-0.02434    0.02637		-0.01013 	0.006236	0.2613 	-0.009459 	-0.02237	0.01751		-0.009245 	0.006949
60		90		17		0.2443 	0.002063 	-0.02089    0.02415		-0.005392 	0.006447	0.2591 	-0.001976 	-0.01303	0.01336		-0.004981 	0.006053
70		90		17		0.2254 	0.004448 	-0.02144    0.02026		-0.002931 	0.007074	0.2380 	-0.007872 	-0.007806	0.009739	-0.001875 	0.007346
80		90		17		0.2108 	0.009715 	-0.002677   0.01798		-0.003143 	0.003346	0.2112 	-0.0008753 	-0.001455	0.008772	-0.002528 	0.006230
90	    90		17		0.1987 	0.01630 	-0.007111   0.01195		-0.007218 	0.003101	0.1989 	0.001122 	-0.01309	0.003084	-0.004169 	0.004520





 
   
 















