beta 	alpha	V		CdA_ke	ClA_ke		CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw		CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw	
----	----	----	----	----		----	    ----		----		----	    ----	----		----		----		----		----	
0		90		17		0.2418	0.01690 	-0.002074 	0.0005855	-0.007586 	0.0002289	0.2562	0.01306 	-0.002282 	2.584e-05	-0.007008 	-0.0001264
10	   	90		17		0.2447	0.003700 	0.004574 	0.004807    -0.007336 	0.001326    0.2597	-0.007208 	0.01333 	0.005683    -0.007396 	0.001090
20	   	90		17		0.2395	-0.007518 	0.0004634 	0.01298     -0.01032 	0.003957    0.2395	-0.01027 	0.001258 	0.01189     -0.009178 	0.002908
30		90		17      0.2636	-0.003490 	-0.005175 	0.01754     -0.01146 	0.004593    0.2675	-0.004824 	-0.005775 	0.01262     -0.01040 	0.003480
40	   	90		17		0.2625	-0.003701 	-0.01831 	0.02261     -0.009092 	0.005226    0.2670	-0.002091 	-0.006690 	0.01574     -0.008507 	0.004416
50	   	90		17		0.2630	-0.002392 	-0.02570 	0.02471     -0.006597 	0.005939    0.2739	0.004351 	-0.009234 	0.01924     -0.007918 	0.005302
60		90		17		0.2601	0.002854 	-0.02160 	0.02592     -0.002355 	0.006651    0.2730	0.002476 	-0.005974 	0.02111     -0.002815 	0.007289
70		90		17      0.2395	-0.0003388 	-0.02090 	0.02277     -0.0002093 	0.007971    0.2478	0.002023 	-0.007392 	0.02033     -0.0003680 	0.007375
80		90		17      0.2183	0.001372 	-0.01194 	0.01998     0.0001531 	0.006547    0.2224	-0.006051 	0.004487 	0.01946     0.0007359 	0.006957
90	    90		17		0.2015	0.008037	-0.008185	0.01137     -0.002021 	0.004373    0.2101	0.004255	-0.003383	0.009515    -0.0003968	0.004606


