beta 	alpha	V		CdA_ke	ClA_ke	CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw	CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw
----	----	----	----	----	----		----		----		----        ----	----	----		----		----		----
0	 	90		17		0.227	0.0476	-0.00458	0.000592	0.0164		-0.00150    0.241	0.0338	-0.00411	-0.000143	0.0208		-0.000833
15	 	90		17		0.233	0.0302	0.00695		-0.00737	0.0174		-0.00621    0.248	0.0284	0.00554		-0.00823	0.0201		-0.00635
30	 	90		17		0.253	0.0159	0.0229		-0.0160		0.0194		-0.00939    0.265	0.0211	0.0147		-0.0135		0.0197		-0.0107
45	 	90		17		0.263	0.0227	0.0325		-0.0222		0.0159		-0.0166     0.269	0.0170	0.0372		-0.0123		0.0156		-0.0151
60	 	90		17		0.259	0.0180	0.0349		-0.0194		0.0111		-0.0150     0.271	0.0208	0.0317		-0.0116		0.0115		-0.0161
70		90		17		0.253	0.0210	0.0288		-0.0183		0.00492		-0.0160     0.261	0.0178	0.0169		-0.0124		0.00518		-0.0183
75	 	90		17		0.254	0.0171	0.0257		-0.0162		0.00391		-0.0161     0.262	0.00886	0.0171		-0.0101		0.00400		-0.0181
80		90		17		0.256	0.0199	0.0225		-0.0153		0.00294		-0.0170     0.265	0.0123	0.0170		-0.00859	0.00109		-0.0183
90	 	90		17		0.253	0.0220	0.0138		-0.0100		0.00141		-0.0153     0.260	0.00891	0.0188		-0.00317	-0.00121	-0.0164
